province,num_acc,num_injuries
Nakhon Ratchasima,1,0
Nakhon Ratchasima,2,2
Bangkok,1,0
Phitsanulok,4,7
Chiang Mai,1,1
Krabi,2,1
Nakhon Si Thammarat,1,0
Maha Sarakham,2,2
Bangkok,1,0
Phayao,2,0
Uthai Thani,1,0
Phetchabun,2,1
Loei,2,1
Phitsanulok,5,0
Phitsanulok,4,0
Nakhon Sawan,4,1
Lamphun,3,0
Suphan Buri,2,3
Uttaradit,3,0
Lamphun,3,0
Lamphun,1,1
Rayong,2,1
Phitsanulok,4,0
Lopburi,2,2
Sa Kaeo,2,1
Uttaradit,3,0
Lopburi,2,1
Nakhon Nayok,2,0
Uttaradit,3,0
Chonburi,1,2
Kalasin,2,2
Maha Sarakham,2,0
Nakhon Si Thammarat,1,0
Ang Thong,2,2
Udon Thani,2,3
Loei,2,1
Phrae,1,0
Kanchanaburi,1,0
Nakhon Si Thammarat,2,1
Rayong,3,1
Phitsanulok,2,2
Saraburi,2,3
Phetchabun,2,0
Nakhon Sawan,3,0
Lopburi,1,1
Lamphun,3,0
Nakhon Sawan,2,1
Lamphun,3,0
Nakhon Sawan,1,1
Ubon Ratchathani,1,0
Surat Thani,1,2
Kamphaeng Phet,1,0
Chiang Rai,1,1
Chumphon,6,0
Tak,2,0
Chainat,2,1
Khon Kaen,1,0
Uttaradit,1,0
Chiang Rai,2,2
Lampang,1,0
Surat Thani,2,1
Phitsanulok,1,0
Lamphun,2,0
Suphan Buri,2,0
Songkhla,2,0
Suphan Buri,2,1
Nong Bua Lamphu,1,1
Lopburi,1,1
Kamphaeng Phet,2,0
Chiang Mai,2,2
Lampang,3,1
Prachinburi,2,1
Chumphon,2,0
Lamphun,4,0
Ang Thong,2,1
Nakhon Si Thammarat,1,3
Ang Thong,2,0
Samut Prakan,2,1
Nong Khai,1,1
Phitsanulok,4,0
Nakhon Ratchasima,2,1
Chachoengsao,2,4
Uttaradit,2,0
Chonburi,2,1
Buriram,2,1
Sukhothai,1,1
Pathum Thani,1,1
Trang,1,4
Kalasin,4,1
Uthai Thani,1,0
Lampang,1,1
Udon Thani,2,0
Sukhothai,1,1
Phetchaburi,2,0
Loei,1,1
Buriram,2,1
Lampang,2,0
Nonthaburi,2,3
Suphan Buri,2,1
Udon Thani,2,2
Nakhon Nayok,1,0
Phra Nakhon Si Ayutthaya,2,2
Nakhon Sawan,2,1
Nakhon Pathom,1,0
Nakhon Ratchasima,3,1
Nakhon Pathom,1,0
Nakhon Nayok,4,1
Lampang,3,0
Surin,2,3
Kanchanaburi,2,2
Saraburi,1,0
Chiang Mai,3,2
Lopburi,2,2
Chiang Mai,2,0
Uthai Thani,3,1
Saraburi,2,1
Nakhon Sawan,3,2
Roi Et,2,0
Nakhon Pathom,2,0
Roi Et,2,4
Loei,1,0
Nonthaburi,2,2
Chiang Mai,1,1
Pattani,1,1
Phuket,1,1
Rayong,1,1
Chiang Mai,3,0
Phra Nakhon Si Ayutthaya,1,2
Chachoengsao,1,1
Surat Thani,2,0
Lamphun,1,1
Sakon Nakhon,2,0
Nakhon Pathom,4,1
Chumphon,1,0
Sa Kaeo,2,1
Phra Nakhon Si Ayutthaya,2,1
Nakhon Pathom,2,0
Phra Nakhon Si Ayutthaya,1,1
Prachinburi,1,0
Nakhon Ratchasima,1,0
Lopburi,1,0
Chiang Rai,1,1
Phra Nakhon Si Ayutthaya,6,3
Bangkok,1,1
Phetchabun,1,1
Phra Nakhon Si Ayutthaya,1,0
Phrae,1,1
Mukdahan,1,1
Nan,1,5
Phayao,1,1
Rayong,1,0
Nakhon Ratchasima,1,0
Samut Songkhram,1,1
Suphan Buri,1,1
Tak,1,0
Phatthalung,2,0
Uthai Thani,1,1
Nakhon Nayok,2,1
Songkhla,2,7
Phrae,1,2
Yasothon,2,0
Nonthaburi,1,1
Sa Kaeo,2,1
Nakhon Ratchasima,2,1
Chanthaburi,1,0
Suphan Buri,1,0
Pathum Thani,1,1
Songkhla,1,1
Nong Khai,1,0
Trat,1,0
Suphan Buri,1,1
Udon Thani,1,1
Chonburi,2,0
